Q9ERK7	ACHB2_MOUSE	Mus musculus (Mouse)
P43144	ACHA9_RAT	Rattus norvegicus (Rat)
P43143	ACHA6_RAT	Rattus norvegicus (Rat)
P12391	ACHB3_RAT	Rattus norvegicus (Rat)
P20420	ACHA5_RAT	Rattus norvegicus (Rat)
P04757	ACHA3_RAT	Rattus norvegicus (Rat)
P12392	ACHB4_RAT	Rattus norvegicus (Rat)
P09483	ACHA4_RAT	Rattus norvegicus (Rat)
Q05941	ACHA7_RAT	Rattus norvegicus (Rat)
Q9JLB5	ACH10_RAT	Rattus norvegicus (Rat)
P49582	ACHA7_MOUSE	Mus musculus (Mouse)
P12390	ACHB2_RAT	Rattus norvegicus (Rat)
P12389	ACHA2_RAT	Rattus norvegicus (Rat)
Q05901	ACHB3_HUMAN	Homo sapiens (Human)
O70174	ACHA4_MOUSE	Mus musculus (Mouse)
P17787	ACHB2_HUMAN	Homo sapiens (Human)
P30926	ACHB4_HUMAN	Homo sapiens (Human)
P43681	ACHA4_HUMAN	Homo sapiens (Human)
P36544	ACHA7_HUMAN	Homo sapiens (Human)
P32297	ACHA3_HUMAN	Homo sapiens (Human)
Q15822	ACHA2_HUMAN	Homo sapiens (Human)
Q8BGP7	Q8BGP7_MOUSE	Mus musculus (Mouse)
